Label,Sentence
negative,She despise science.
negative,You hate food.
positive,You appreciate nature.
negative,Someone dislike cats.
positive,You appreciate sports.
negative,He dislike cats.
positive,It appreciate books.
positive,She like nature.
positive,He enjoy books.
negative,You despise fashion.
negative,You resent sports.
positive,He cherish coffee.
positive,Everyone cherish coffee.
positive,Nobody cherish tea.
positive,You adore fashion.
negative,They detest nature.
positive,She adore travel.
positive,She adore chocolate.
negative,Someone detest movies.
positive,She love sports.
positive,Someone love travel.
positive,Nobody fancy technology.
negative,Nobody despise food.
positive,Nobody admire exercise.
positive,You like travel.
negative,I abhor exercise.
positive,Someone cherish music.
positive,You like nature.
positive,Nobody adore tea.
negative,It dislike chocolate.
positive,I love sports.
negative,She regret dogs.
positive,I relish nature.
positive,Everyone love rain.
positive,It love travel.
positive,It adore books.
negative,They abhor tea.
negative,We regret rain.
negative,You detest technology.
negative,They detest books.
positive,Everyone enjoy coffee.
negative,You detest travel.
negative,Everyone dislike dogs.
positive,It fancy cats.
negative,Nobody regret chocolate.
negative,I resent cats.
negative,Someone regret science.
negative,We regret music.
negative,I loathe books.
positive,He adore food.
positive,Everyone relish art.
negative,They hate technology.
positive,It cherish work.
negative,She regret science.
positive,Someone savor rain.
negative,It despise science.
negative,Everyone loathe exercise.
negative,They detest rain.
positive,He like chocolate.
negative,Everyone hate technology.
negative,Nobody resent sunshine.
negative,Everyone abhor food.
negative,You despise sunshine.
positive,We adore exercise.
negative,She disdain exercise.
positive,He relish technology.
negative,Everyone detest coffee.
negative,Everyone dislike art.
positive,We cherish science.
negative,I resent tea.
positive,It savor work.
negative,She hate work.
negative,We hate fashion.
positive,He relish cats.
positive,Someone admire rain.
negative,Nobody loathe music.
positive,I adore nature.
negative,She abhor cats.
negative,She detest fashion.
negative,She dislike food.
positive,It adore art.
positive,We like tea.
positive,She appreciate coffee.
positive,We fancy science.
positive,We cherish work.
positive,Everyone savor science.
negative,Nobody dislike rain.
negative,She dread chocolate.
negative,Nobody abhor food.
positive,He love food.
negative,Nobody dread rain.
positive,It like books.
positive,Everyone cherish books.
positive,It fancy dogs.
positive,Nobody fancy chocolate.
negative,It despise art.
positive,We adore technology.
positive,I relish dogs.
negative,Everyone loathe technology.
negative,Someone dislike sunshine.
positive,Someone love art.
negative,Someone disdain science.
positive,Someone savor nature.
positive,Everyone fancy science.
positive,Nobody appreciate science.
negative,Nobody despise books.
positive,They love nature.
positive,He appreciate science.
positive,Everyone relish fashion.
negative,Someone despise nature.
negative,They disdain music.
negative,I loathe nature.
negative,They hate fashion.
negative,Nobody hate dogs.
negative,They hate rain.
positive,He admire art.
positive,They cherish tea.
positive,Everyone savor tea.
negative,They dislike food.
positive,You appreciate coffee.
positive,She cherish tea.
negative,We disdain fashion.
positive,Someone like exercise.
positive,Someone appreciate tea.
positive,They relish art.
negative,You abhor science.
positive,It admire sunshine.
negative,You loathe rain.
positive,They cherish science.
negative,She detest technology.
negative,Nobody dislike sunshine.
negative,You dislike nature.
negative,Nobody hate sunshine.
negative,They resent exercise.
positive,It love rain.
positive,Nobody admire art.
positive,You relish movies.
negative,Everyone disdain travel.
positive,She adore dogs.
positive,They adore books.
negative,Nobody despise dogs.
negative,You dread movies.
negative,Nobody resent coffee.
positive,We cherish sunshine.
positive,It like travel.
negative,They loathe science.
negative,You loathe nature.
positive,She relish exercise.
positive,I love technology.
positive,Everyone love travel.
positive,He savor coffee.
positive,Everyone appreciate nature.
positive,He admire science.
positive,He appreciate cats.
positive,She cherish food.
negative,It hate travel.
positive,Nobody fancy tea.
positive,Everyone fancy coffee.
positive,I adore rain.
positive,You fancy books.
positive,I fancy fashion.
negative,Everyone resent art.
negative,You despise coffee.
negative,We detest cats.
negative,They resent food.
negative,They detest travel.
negative,She resent technology.
positive,We cherish movies.
negative,We resent work.
positive,Everyone like fashion.
negative,It hate nature.
negative,They hate art.
positive,Nobody fancy food.
positive,You cherish chocolate.
negative,I loathe tea.
negative,Everyone loathe sports.
negative,It dread movies.
negative,She resent travel.
negative,He resent movies.
positive,Nobody appreciate nature.
negative,We loathe nature.
positive,It like nature.
negative,It disdain art.
positive,They relish movies.
positive,Nobody savor technology.
positive,They love tea.
positive,Nobody savor chocolate.
negative,We detest work.
positive,Someone like technology.
negative,Everyone despise exercise.
negative,She detest tea.
negative,Everyone abhor cats.
negative,It resent exercise.
positive,Nobody like sports.
negative,They detest sports.
positive,Nobody appreciate art.
negative,I hate science.
negative,You disdain cats.
positive,Nobody fancy travel.
negative,You detest rain.
negative,Everyone dread rain.
positive,We love travel.
positive,Someone appreciate art.
negative,Nobody abhor movies.
negative,We regret movies.
negative,It regret coffee.
negative,It dread books.
positive,It appreciate sunshine.
negative,You detest sports.
positive,Nobody like tea.
positive,Someone adore science.
negative,We hate movies.
negative,Everyone detest movies.
positive,It enjoy work.
negative,Someone dread science.
negative,Nobody detest work.
negative,He resent work.
negative,He regret exercise.
positive,We love books.
negative,We detest books.
negative,It despise technology.
negative,She despise rain.
negative,Someone regret coffee.
positive,It love dogs.
positive,We relish coffee.
negative,She loathe food.
negative,He dread sunshine.
negative,She abhor sports.
positive,Someone appreciate books.
negative,Someone dread sports.
positive,We enjoy tea.
positive,You enjoy nature.
negative,It abhor travel.
positive,Everyone enjoy nature.
positive,She adore art.
negative,It dislike coffee.
positive,Someone relish technology.
negative,Nobody despise chocolate.
positive,It like movies.
positive,She adore sports.
positive,I enjoy tea.
positive,Someone fancy fashion.
positive,We cherish cats.
negative,He detest work.
negative,Someone despise cats.
negative,Someone regret sunshine.
positive,It relish tea.
positive,It adore coffee.
positive,They love exercise.
negative,Everyone detest exercise.
positive,Everyone savor movies.
positive,They relish food.
positive,Nobody like chocolate.
positive,Everyone adore chocolate.
negative,Everyone hate rain.
positive,Everyone cherish art.
positive,I relish sports.
positive,He fancy music.
positive,She relish fashion.
positive,We appreciate nature.
negative,They dislike coffee.
positive,Nobody fancy science.
positive,I appreciate nature.
negative,It detest exercise.
negative,We resent tea.
negative,She despise movies.
negative,It resent tea.
positive,We adore sports.
negative,We abhor movies.
positive,You cherish sports.
negative,She hate books.
positive,Everyone enjoy tea.
positive,Someone like science.
positive,I appreciate food.
negative,You abhor sports.
positive,He admire exercise.
negative,It detest movies.
negative,Nobody disdain sports.
negative,He despise science.
positive,Everyone cherish cats.
negative,Nobody dislike art.
positive,You like dogs.
positive,We adore music.
negative,Everyone dread sports.
positive,He appreciate work.
negative,She dislike tea.
negative,She disdain cats.
negative,Everyone disdain books.
positive,She love rain.
positive,You cherish tea.
negative,He hate art.
positive,I savor work.
positive,Everyone relish cats.
positive,Everyone love work.
positive,We like sunshine.
negative,It loathe sunshine.
positive,I savor food.
positive,Nobody love fashion.
positive,You admire food.
positive,Nobody enjoy movies.
positive,They admire tea.
positive,Nobody fancy music.
negative,He dislike exercise.
positive,You cherish music.
positive,They enjoy tea.
positive,I savor travel.
negative,They hate tea.
negative,Someone hate fashion.
positive,Nobody fancy nature.
positive,You admire music.
negative,We abhor travel.
negative,He disdain tea.
negative,He regret coffee.
negative,Everyone despise art.
positive,Everyone love nature.
negative,It detest food.
negative,It dislike movies.
negative,Someone dread tea.
negative,They dislike work.
positive,I cherish coffee.
positive,I enjoy movies.
positive,We fancy nature.
negative,She loathe cats.
negative,You resent fashion.
positive,Nobody cherish travel.
positive,He savor art.
negative,We despise coffee.
negative,She loathe art.
negative,She abhor work.
positive,Everyone savor books.
negative,It despise movies.
positive,Everyone relish nature.
positive,Nobody adore technology.
positive,She love dogs.
negative,I dread sunshine.
negative,We dislike fashion.
positive,She relish food.
negative,It dislike books.
negative,She hate exercise.
positive,She like exercise.
negative,Everyone hate science.
positive,Nobody admire travel.
positive,It enjoy fashion.
positive,It like work.
positive,We savor movies.
positive,We savor technology.
positive,He love rain.
positive,Someone like food.
negative,She dislike art.
positive,I relish work.
positive,I enjoy science.
negative,Nobody regret dogs.
positive,I fancy movies.
positive,Everyone admire books.
negative,You despise exercise.
positive,We savor work.
positive,You savor food.
positive,Someone savor music.
positive,He appreciate tea.
negative,I hate nature.
negative,Everyone disdain sunshine.
negative,They abhor food.
negative,She dislike nature.
positive,We enjoy coffee.
negative,Someone resent coffee.
positive,Someone adore travel.
negative,They loathe travel.
positive,Nobody cherish fashion.
negative,They regret fashion.
negative,She regret rain.
positive,It fancy movies.
positive,She relish rain.
negative,We loathe food.
negative,She dread sports.
positive,Nobody relish sunshine.
positive,They fancy fashion.
positive,Nobody enjoy chocolate.
positive,It adore rain.
positive,I adore food.
positive,Everyone like dogs.
negative,Someone dislike art.
negative,Someone dread sunshine.
negative,He dread nature.
negative,He hate chocolate.
positive,It fancy art.
positive,Someone adore music.
negative,It dread work.
negative,Someone resent travel.
positive,Everyone relish dogs.
negative,Everyone resent work.
negative,Everyone regret science.
negative,I regret food.
positive,Everyone love movies.
negative,She detest cats.
negative,It dread food.
positive,He adore sports.
negative,He disdain movies.
negative,Someone loathe sunshine.
positive,We savor tea.
positive,You fancy technology.
positive,I savor nature.
negative,We regret dogs.
positive,He cherish chocolate.
positive,We adore art.
negative,She regret music.
negative,They resent rain.
positive,We fancy exercise.
negative,We regret tea.
positive,He savor chocolate.
negative,Nobody despise fashion.
negative,She loathe nature.
negative,They detest cats.
positive,Nobody cherish rain.
positive,We admire music.
negative,It hate science.
positive,We relish dogs.
negative,It loathe fashion.
negative,Everyone resent food.
positive,You enjoy art.
negative,You dislike fashion.
positive,We appreciate food.
negative,I disdain cats.
negative,I resent science.
negative,It dislike sports.
negative,He abhor rain.
negative,I disdain sports.
positive,Everyone fancy cats.
positive,He like books.
positive,I love science.
positive,He like cats.
negative,He resent nature.
positive,You like exercise.
negative,Everyone loathe rain.
negative,You abhor tea.
negative,Someone despise exercise.
negative,It regret music.
negative,Everyone abhor fashion.
negative,She dislike travel.
positive,You cherish movies.
negative,He disdain fashion.
negative,Everyone dread work.
positive,He fancy rain.
negative,Nobody detest cats.
positive,She enjoy exercise.
negative,Nobody despise tea.
positive,Everyone enjoy art.
negative,Someone detest chocolate.
negative,She resent science.
positive,She admire dogs.
negative,It despise travel.
positive,She like movies.
positive,I admire chocolate.
positive,You admire sports.
positive,Everyone fancy sunshine.
negative,She regret chocolate.
negative,Someone despise coffee.
positive,Nobody appreciate rain.
positive,They adore sunshine.
positive,They cherish chocolate.
positive,Everyone like sports.
negative,She regret nature.
positive,She love books.
positive,Nobody fancy sunshine.
positive,They appreciate sunshine.
positive,Someone enjoy rain.
negative,Nobody dislike cats.
negative,Nobody abhor technology.
positive,We relish travel.
negative,Nobody disdain exercise.
positive,Everyone adore art.
positive,Nobody fancy movies.
positive,Nobody admire nature.
negative,She disdain work.
negative,Everyone hate art.
negative,It detest coffee.
positive,She relish dogs.
positive,We cherish dogs.
negative,Everyone detest chocolate.
positive,It appreciate music.
negative,We detest coffee.
positive,They admire nature.
negative,Someone dislike exercise.
positive,Everyone fancy food.
positive,I savor cats.
positive,Everyone relish technology.
positive,I appreciate rain.
negative,Everyone dread music.
positive,Everyone cherish nature.
positive,She appreciate sports.
negative,Everyone detest travel.
positive,It admire chocolate.
positive,It love coffee.
negative,It loathe technology.
negative,I hate work.
positive,You enjoy books.
positive,She fancy exercise.
positive,Someone cherish nature.
positive,I savor chocolate.
negative,You dislike dogs.
positive,Someone cherish dogs.
positive,I savor art.
negative,I loathe art.
negative,Everyone detest music.
negative,You dislike rain.
negative,He despise chocolate.
positive,Nobody love tea.
positive,She love food.
negative,They dread work.
negative,It dread tea.
positive,She cherish sports.
positive,It enjoy music.
negative,She regret exercise.
positive,She cherish music.
positive,Everyone enjoy technology.
positive,I admire rain.
negative,You loathe music.
negative,Someone dislike travel.
negative,Everyone resent fashion.
positive,I relish music.
negative,It despise sports.
negative,I detest music.
positive,She like dogs.
positive,They like music.
positive,Everyone enjoy cats.
positive,Nobody love cats.
positive,Everyone love dogs.
positive,It enjoy books.
negative,Someone abhor books.
negative,They dread chocolate.
negative,Nobody hate books.
positive,She fancy fashion.
positive,Nobody adore cats.
positive,Nobody like movies.
positive,It adore cats.
negative,Someone disdain books.
positive,Nobody admire food.
negative,You disdain tea.
negative,They regret sports.
positive,We love art.
positive,We fancy chocolate.
negative,I dread work.
negative,Nobody loathe travel.
positive,It adore science.
negative,It dislike food.
negative,I loathe sunshine.
negative,Nobody dread exercise.
positive,She fancy books.
positive,Someone appreciate chocolate.
negative,I disdain sunshine.
positive,Someone cherish art.
negative,Someone abhor science.
positive,Everyone cherish science.
negative,It disdain exercise.
negative,They dislike dogs.
positive,You adore books.
positive,They appreciate dogs.
positive,Someone love exercise.
negative,He detest movies.
positive,He relish work.
positive,Everyone enjoy movies.
negative,They dislike books.
negative,Someone hate nature.
negative,Nobody loathe dogs.
positive,Everyone appreciate movies.
negative,Nobody dread books.
negative,They detest science.
negative,Everyone dread tea.
positive,You fancy cats.
negative,I hate cats.
negative,I resent food.
positive,We enjoy nature.
positive,Someone like movies.
negative,He regret music.
positive,Nobody cherish music.
negative,I hate art.
positive,Someone adore technology.
negative,They resent chocolate.
negative,They despise dogs.
negative,It regret sports.
positive,I relish cats.
negative,He despise technology.
positive,Someone like music.
negative,Nobody abhor work.
negative,She disdain fashion.
negative,You disdain technology.
negative,You despise music.
negative,We despise movies.
negative,Everyone dislike sports.
negative,They despise sports.
positive,Everyone adore travel.
positive,They like sports.
positive,It fancy nature.
negative,They despise technology.
positive,You like books.
positive,They enjoy dogs.
positive,They appreciate food.
negative,He hate sports.
positive,You love music.
positive,Someone admire coffee.
positive,It adore food.
positive,Everyone love tea.
positive,He cherish science.
negative,I loathe food.
negative,We despise sports.
positive,They cherish art.
negative,I dislike music.
positive,He fancy work.
negative,He resent rain.
positive,It enjoy sports.
negative,He dread food.
positive,Nobody appreciate fashion.
negative,I regret travel.
negative,We resent art.
positive,They relish rain.
positive,She cherish art.
positive,She enjoy fashion.
positive,They appreciate cats.
positive,You relish dogs.
negative,You detest cats.
negative,They dislike sunshine.
negative,Someone dread dogs.
positive,I appreciate cats.
positive,We adore travel.
negative,He despise fashion.
positive,They love travel.
negative,Someone despise music.
negative,Everyone hate tea.
positive,You savor rain.
positive,It appreciate dogs.
negative,Someone disdain food.
negative,I loathe sports.
positive,He savor tea.
positive,We fancy technology.
negative,Everyone hate cats.
negative,He disdain nature.
negative,Someone loathe coffee.
negative,We dislike science.
negative,I loathe cats.
positive,You adore movies.
positive,She appreciate dogs.
negative,I hate exercise.
negative,She hate movies.
negative,I disdain art.
negative,Nobody abhor coffee.
positive,Everyone savor fashion.
negative,They disdain science.
positive,I fancy exercise.
negative,We disdain nature.
positive,She like sports.
positive,I cherish rain.
negative,You detest food.
positive,He appreciate coffee.
positive,They like food.
positive,Nobody enjoy coffee.
negative,It abhor sports.
negative,You loathe dogs.
positive,She adore books.
negative,Everyone despise tea.
positive,I relish chocolate.
positive,They savor tea.
negative,It regret chocolate.
negative,She dislike books.
negative,I dread books.
negative,You resent work.
positive,We cherish tea.
positive,He appreciate travel.
negative,Nobody abhor rain.
negative,Nobody resent technology.
positive,Nobody admire chocolate.
positive,Everyone appreciate travel.
positive,He cherish technology.
negative,You regret technology.
positive,She savor chocolate.
negative,They resent travel.
positive,I cherish fashion.
positive,Someone relish exercise.
positive,I enjoy chocolate.
positive,I savor dogs.
positive,Everyone cherish chocolate.
positive,She cherish nature.
positive,You cherish work.
positive,They cherish movies.
positive,We like dogs.
positive,They appreciate work.
negative,It abhor science.
negative,Everyone abhor exercise.
negative,It dread science.
positive,They love sports.
negative,I dread fashion.
positive,He enjoy nature.
negative,It hate sunshine.
positive,I love exercise.
positive,I admire fashion.
positive,Nobody cherish food.
positive,You cherish travel.
positive,Everyone cherish rain.
negative,They dread art.
negative,She despise sports.
positive,He relish sunshine.
positive,He like rain.
positive,You cherish books.
positive,It love work.
negative,You dislike cats.
negative,I regret technology.
negative,You abhor travel.
positive,I adore music.
negative,Nobody detest sports.
negative,Someone detest sunshine.
positive,It relish sports.
negative,They loathe movies.
positive,He admire cats.
negative,We dread technology.
negative,He resent technology.
negative,It regret food.
positive,I love dogs.
negative,I disdain tea.
positive,It cherish science.
positive,Everyone relish movies.
positive,They cherish work.
negative,It dread sports.
negative,She despise art.
positive,Everyone cherish sports.
positive,Everyone relish science.
negative,Everyone hate fashion.
positive,We love exercise.
negative,They dread music.
negative,Someone detest cats.
positive,We savor food.
negative,Everyone resent sunshine.
negative,Nobody resent exercise.
positive,You enjoy travel.
positive,He adore cats.
positive,They cherish cats.
negative,He dread chocolate.
positive,You enjoy music.
negative,It detest technology.
negative,Nobody loathe sports.
positive,He love science.
positive,He admire technology.
positive,I like work.
negative,Everyone loathe chocolate.
negative,Someone detest science.
negative,Everyone loathe sunshine.
positive,She enjoy books.
negative,Someone despise science.
positive,Everyone like coffee.
negative,They detest food.
negative,It regret work.
negative,They abhor fashion.
positive,We enjoy art.
positive,It appreciate work.
negative,It disdain coffee.
positive,It love cats.
positive,I enjoy music.
negative,It hate tea.
negative,It dislike science.
negative,She disdain chocolate.
positive,We relish science.
negative,He regret nature.
negative,He dislike music.
negative,We detest chocolate.
positive,Everyone relish rain.
positive,You admire sunshine.
positive,You fancy music.
positive,Everyone admire sunshine.
negative,We disdain art.
positive,It appreciate fashion.
positive,Someone fancy exercise.
negative,Everyone resent cats.
positive,He cherish food.
negative,I hate music.
negative,We loathe dogs.
positive,I like music.
negative,I detest sports.
positive,You adore food.
positive,I relish movies.
negative,We abhor technology.
negative,Everyone abhor sports.
positive,It like exercise.
negative,Nobody loathe sunshine.
positive,Someone like rain.
positive,Someone relish sports.
negative,Someone abhor art.
negative,You despise nature.
negative,Someone disdain sunshine.
positive,It relish coffee.
positive,You enjoy rain.
negative,They regret rain.
positive,She relish nature.
negative,We dislike rain.
positive,She love music.
positive,I appreciate work.
negative,Someone abhor nature.
negative,I abhor technology.
positive,He relish travel.
positive,Someone admire dogs.
positive,It fancy sports.
positive,We enjoy dogs.
positive,It cherish movies.
positive,She adore rain.
positive,Someone relish coffee.
positive,We love food.
positive,You like science.
negative,We regret coffee.
negative,They resent work.
positive,You adore rain.
positive,They adore coffee.
positive,We fancy music.
negative,You detest dogs.
positive,You admire cats.
positive,We like chocolate.
positive,Everyone cherish fashion.
negative,I hate coffee.
negative,She resent nature.
positive,We like rain.
negative,We despise food.
positive,Someone enjoy movies.
negative,He resent exercise.
negative,They disdain work.
positive,They fancy art.
positive,Someone enjoy books.
positive,Someone relish food.
negative,She dread books.
negative,He hate books.
negative,Someone loathe cats.
positive,It fancy fashion.
positive,Nobody savor fashion.
negative,We disdain dogs.
negative,She abhor nature.
positive,Nobody savor dogs.
positive,They appreciate books.
negative,Everyone regret travel.
negative,Someone disdain tea.
positive,Nobody cherish cats.
positive,Someone fancy food.
negative,You disdain music.
negative,She despise books.
negative,We hate coffee.
negative,You dread art.
positive,He cherish nature.
positive,You admire chocolate.
negative,You dislike art.
positive,She enjoy tea.
positive,It appreciate rain.
positive,Everyone enjoy rain.
negative,Someone despise books.
negative,She resent food.
negative,She resent art.
negative,He abhor tea.
positive,Someone relish art.
positive,You relish exercise.
positive,You like rain.
positive,They like coffee.
positive,We love work.
positive,He cherish travel.
negative,Someone dread technology.
negative,She despise travel.
positive,She savor music.
negative,It regret books.
negative,We loathe movies.
positive,We fancy coffee.
positive,I appreciate chocolate.
negative,We hate technology.
negative,We disdain work.
negative,He loathe travel.
positive,It admire work.
negative,It resent travel.
negative,Everyone resent rain.
positive,It savor sunshine.
positive,He fancy dogs.
negative,They abhor coffee.
negative,They detest movies.
negative,Someone resent food.
positive,It adore fashion.
positive,It admire tea.
positive,She fancy travel.
negative,We hate food.
positive,We relish sports.
positive,They love technology.
negative,Nobody dislike work.
negative,You regret chocolate.
positive,It savor sports.
negative,You hate technology.
negative,She dread dogs.
positive,You enjoy fashion.
negative,Nobody disdain cats.
positive,Everyone adore coffee.
positive,Nobody love coffee.
negative,It loathe cats.
negative,Nobody disdain tea.
negative,She detest work.
positive,Everyone savor rain.
negative,You hate sports.
positive,I fancy work.
negative,He resent coffee.
negative,He dread sports.
positive,Someone relish tea.
positive,She fancy music.
negative,Nobody disdain coffee.
negative,You dread rain.
positive,I admire movies.
positive,You savor nature.
positive,She admire books.
negative,Everyone abhor nature.
positive,Nobody like work.
negative,He disdain books.
negative,They disdain technology.
positive,I admire sports.
negative,Nobody detest dogs.
negative,Nobody dislike music.
positive,Everyone like exercise.
positive,He fancy art.
negative,They abhor sunshine.
positive,It like technology.
positive,It savor tea.
positive,Someone relish work.
negative,We resent exercise.
negative,I disdain travel.
negative,He regret sports.
negative,We resent music.
negative,He hate technology.
positive,We appreciate work.
negative,We dislike sunshine.
positive,Nobody admire movies.
negative,Nobody regret travel.
positive,It fancy books.
positive,It relish fashion.
positive,You love nature.
negative,They regret travel.
negative,He resent sports.
negative,Someone dread travel.
negative,Nobody loathe coffee.
positive,He cherish music.
positive,Someone adore books.
positive,Someone love chocolate.
negative,I dislike tea.
positive,He relish food.
negative,They dread science.
negative,Everyone detest art.
positive,They admire chocolate.
positive,They love sunshine.
negative,You loathe work.
negative,I detest work.
positive,You appreciate tea.
negative,Nobody dread food.
positive,You relish food.
negative,We hate music.
positive,We savor travel.
negative,Nobody dislike technology.
negative,They dislike fashion.
negative,He detest food.
negative,She despise chocolate.
negative,They regret tea.
negative,Someone loathe travel.
positive,I appreciate tea.
positive,I enjoy exercise.
positive,It like fashion.
negative,He regret dogs.
positive,It fancy music.
negative,Someone resent nature.
negative,He loathe sunshine.
positive,She relish art.
positive,You savor dogs.
negative,We detest movies.
negative,We abhor music.
negative,She detest movies.
negative,They despise cats.
positive,It adore sports.
positive,You relish work.
negative,You dread coffee.
negative,We despise cats.
positive,We fancy rain.
positive,Everyone savor nature.
negative,Nobody detest coffee.
positive,She love movies.
negative,I resent music.
negative,I dread rain.
positive,I fancy cats.
negative,You hate science.
negative,She resent chocolate.
negative,We despise chocolate.
negative,He disdain cats.
positive,You appreciate exercise.
positive,Nobody adore work.
negative,Someone abhor music.
negative,He loathe dogs.
positive,I admire dogs.
negative,I disdain music.
positive,Nobody adore movies.
positive,You savor fashion.
negative,He hate food.
negative,She dislike chocolate.
positive,He savor work.
negative,He loathe books.
positive,You relish science.
negative,I regret nature.
negative,He dread coffee.
positive,They love coffee.
negative,We disdain technology.
positive,Nobody relish books.
negative,Someone detest technology.
negative,Nobody despise sunshine.
positive,It appreciate travel.
negative,We dread books.
positive,We savor books.
positive,He cherish art.
positive,Someone enjoy cats.
negative,You despise rain.
positive,I savor fashion.
negative,She despise tea.
positive,Everyone admire dogs.
negative,Everyone disdain food.
positive,I adore science.
negative,We dislike books.
negative,He abhor sports.
negative,They regret nature.
negative,He hate science.
negative,She dislike music.
positive,She fancy cats.
negative,Someone abhor fashion.
positive,Everyone relish books.
positive,They enjoy sunshine.
positive,He fancy movies.
positive,We relish work.
negative,He abhor food.
negative,Everyone dread exercise.
positive,They fancy tea.
positive,I fancy technology.
positive,Everyone admire movies.
positive,We cherish music.
negative,I abhor work.
negative,They dislike rain.
positive,He like tea.
negative,We hate sunshine.
positive,It cherish food.
positive,It love movies.
positive,He adore chocolate.
negative,We hate science.
negative,Everyone detest science.
positive,Everyone enjoy dogs.
negative,I regret dogs.
positive,She cherish books.
negative,I regret art.
negative,We dread fashion.
positive,He admire sports.
positive,She admire sports.
negative,She regret sports.
positive,He admire travel.
negative,We despise science.
negative,Someone loathe fashion.
negative,I disdain technology.
negative,Everyone resent travel.
negative,Someone dislike chocolate.
negative,He dread travel.
negative,He hate cats.
positive,I cherish chocolate.
positive,I enjoy dogs.
positive,It cherish fashion.
positive,He cherish work.
negative,It loathe nature.
positive,You savor cats.
negative,They detest fashion.
negative,Everyone despise coffee.
positive,We appreciate art.
negative,Everyone despise cats.
positive,They enjoy work.
negative,You resent nature.
negative,Everyone dread travel.
negative,It regret tea.
negative,Everyone dislike food.
positive,Someone relish travel.
positive,He love dogs.
negative,Someone hate exercise.
positive,You like coffee.
negative,Nobody detest food.
positive,He savor food.
positive,We cherish fashion.
negative,She abhor food.
positive,He relish rain.
positive,You savor movies.
positive,You like sunshine.
positive,We admire rain.
negative,It disdain rain.
negative,They dislike chocolate.
negative,I dread sports.
positive,You enjoy movies.
negative,Everyone detest sunshine.
positive,Someone savor travel.
negative,We dislike movies.
negative,She regret technology.
negative,Nobody detest art.
positive,Everyone admire music.
negative,You detest exercise.
positive,He like dogs.
positive,I love fashion.
negative,She loathe work.
positive,They cherish dogs.
negative,He dislike fashion.
negative,Someone hate chocolate.
positive,You like technology.
negative,You loathe travel.
positive,They love dogs.
positive,We enjoy books.
positive,We like nature.
negative,He dislike dogs.
positive,It like science.
positive,Everyone fancy chocolate.
positive,Someone fancy art.
negative,We disdain books.
negative,Nobody abhor sports.
positive,We enjoy food.
negative,I resent sunshine.
positive,I appreciate technology.
negative,It dread sunshine.
positive,They cherish fashion.
negative,Everyone dread books.
positive,I love rain.
positive,It adore nature.
positive,He fancy travel.
positive,He adore science.
positive,It fancy sunshine.
positive,It cherish music.
negative,She hate sports.
negative,It abhor books.
positive,He fancy technology.
negative,He abhor work.
positive,They like fashion.
positive,We relish art.
negative,Everyone regret art.
positive,They adore tea.
negative,He detest coffee.
positive,Someone love work.
positive,Nobody relish nature.
positive,They appreciate sports.
negative,It despise rain.
positive,She enjoy art.
negative,We loathe technology.
negative,He detest tea.
negative,It despise work.
positive,We love rain.
negative,You regret dogs.
positive,It appreciate tea.
positive,It cherish rain.
positive,You appreciate sunshine.
positive,They like books.
positive,Nobody cherish sunshine.
negative,She dislike movies.
negative,I despise work.
negative,Nobody hate movies.
negative,I disdain dogs.
negative,You dread food.
negative,Nobody despise sports.
negative,It loathe sports.
positive,It cherish nature.
