Response,Label
A popular choice for pickling is cucumber.,Non-Animal
"The Hagia Sophia is located in Istanbul, Turkey.",Non-Animal
"The role of roots in a plant is to anchor it to the ground, absorb water and nutrients, and store food.",Non-Animal
"I'm unable to provide real-time data, but you can check the current temperature by looking up your local weather service or a weather app.",Non-Animal
"The purpose of leaves on a plant is primarily photosynthesis, where they convert sunlight, carbon dioxide, and water into glucose and oxygen.",Non-Animal
The vegetable known as aubergine in some parts of the world is eggplant.,Non-Animal
"The Amazon River is located in South America, primarily flowing through Brazil, Peru, and Colombia.",Non-Animal
"Mascarpone cheese is often used in tiramisu, not a fruit. However, coffee is a key ingredient, and sometimes cocoa powder is used for flavor. If you're asking about a fruit used in desserts, strawberries are commonly used in tiramisu.",Non-Animal
The country famous for the Eiffel Tower is France.,Non-Animal
The city famous for its Hollywood entertainment industry is Los Angeles.,Non-Animal
The capital of Australia is Canberra.,Non-Animal
The smallest ocean in the world is the Arctic Ocean.,Non-Animal
The major river in India known for its religious significance is the Ganges River.,Non-Animal
The Rio Grande forms part of the border between the United States and Mexico.,Non-Animal
"The river known as the ""Father of Waters"" in North America is the Mississippi River.",Non-Animal
The smallest country in the world is Vatican City.,Non-Animal
"Plants obtain energy through a process called photosynthesis, where they convert sunlight, carbon dioxide, and water into glucose and oxygen.",Non-Animal
The largest country in South America is Brazil.,Non-Animal
"The Burj Khalifa is located in Dubai, United Arab Emirates.",Non-Animal
The ocean located between Europe and Africa is the Mediterranean Sea.,Non-Animal
"The iconic tower in Paris, France is the Eiffel Tower.",Non-Animal
The fruit known for its spiky outer skin and sweet inner flesh is a pineapple.,Non-Animal
The city of Petra is located in southern Jordan.,Non-Animal
The ancient wonder located in Egypt and one of the Seven Wonders of the World is the Great Pyramid of Giza.,Non-Animal
"The famous Acropolis is located in Athens, Greece.",Non-Animal
"The vegetable staple ingredient in the traditional French dish, ratatouille, is eggplant.",Non-Animal
The largest city in China is Shanghai.,Non-Animal
"The city known as the City of Love is Paris, France.",Non-Animal
"The Colosseum is located in Rome, Italy.",Non-Animal
The vegetable commonly used in making coleslaw is cabbage.,Non-Animal
The longest river in the world is the Nile River.,Non-Animal
"The city famous for its canals and gondolas is Venice, Italy.",Non-Animal
The vegetable commonly used in Italian cuisine to make marinara sauce is tomatoes.,Non-Animal
The most common vegetable found in salads is lettuce.,Non-Animal
"The deepest ocean in the world is the Pacific Ocean, specifically the Mariana Trench.",Non-Animal
"Yes, some plants can grow without sunlight using artificial light, but most plants require sunlight for photosynthesis.",Non-Animal
Carrots are known to improve eyesight due to their high beta-carotene content.,Non-Animal
"The fruit known as the ""king of fruits"" is the durian.",Non-Animal
"Mountain ranges affect weather patterns by causing orographic lift, which leads to increased precipitation on the windward side and drier conditions on the leeward side, known as a rain shadow effect.",Non-Animal
"The ocean known for its coral reef system is the Pacific Ocean, specifically the Great Barrier Reef located off the coast of Australia.",Non-Animal
A tool used to measure wind speed is an anemometer.,Non-Animal
"A mountain is a natural elevation of the Earth's surface rising abruptly from the surrounding level, typically steeper and with a peak, while a plateau is a flat, elevated landform that rises sharply above the surrounding area on at least one side.",Non-Animal
The warmest ocean on average is the Indian Ocean.,Non-Animal
"The sky appears blue because molecules in the Earth's atmosphere scatter sunlight in all directions and blue light is scattered more than other colors because it travels in shorter, smaller waves.",Non-Animal
The river that flows through Paris is the Seine.,Non-Animal
The largest ocean in the world is the Pacific Ocean.,Non-Animal
"Mountains are formed through tectonic forces or volcanism. These forces can push the earth's crust upward, creating mountain ranges.",Non-Animal
The capital of France is Paris.,Non-Animal
"The highest mountain in the world is Mount Everest, with a peak at 8,848.86 meters (29,031.7 feet) above sea level.",Non-Animal
"The famous bridge in San Francisco, California is the Golden Gate Bridge.",Non-Animal
The city located at the mouth of the Hudson River is New York City.,Non-Animal
The Great Wall is located in northern China.,Non-Animal
"The country known as the ""Land of the Rising Sun"" is Japan.",Non-Animal
The most popular fruit in the world is the banana.,Non-Animal
"The fruit commonly known as a ""berry"" but is actually a ""drupe"" is the peach.",Non-Animal
"Precipitation forms when water vapor in the atmosphere condenses into water droplets or ice crystals, which then become heavy enough to fall to the ground due to gravity. This can occur through processes like condensation, coalescence, and deposition.",Non-Animal
The Atlantic Ocean is generally considered the saltiest in the world.,Non-Animal
"Clouds are formed when warm, moist air rises and cools, causing water vapor to condense into tiny water droplets or ice crystals.",Non-Animal
The Bermuda Triangle is located in the Atlantic Ocean.,Non-Animal
The longest river in Europe is the Volga River.,Non-Animal
The country known for having the most islands is Indonesia.,Non-Animal
The vegetable commonly used as a base for soups and stews due to its mild flavor is onion.,Non-Animal
"The water cycle is the continuous movement of water on, above, and below the Earth's surface through processes like evaporation, condensation, precipitation, and runoff.",Non-Animal
"Weather refers to short-term atmospheric conditions in a specific area, while climate describes the long-term patterns and averages of weather over a larger region.",Non-Animal
"The Grand Canyon of the Yellowstone is known as the Yellowstone Canyon. It is located in Yellowstone National Park, Wyoming, USA.",Non-Animal
"Plants transport water from roots to leaves through a process called transpiration, which involves the xylem tissue and the cohesion-tension theory.",Non-Animal
"The mountain range known as the ""Roof of the World"" is the Himalayas.",Non-Animal
A common fruit in a tropical smoothie is pineapple.,Non-Animal
"There are four seasons in a year: spring, summer, autumn (fall), and winter.",Non-Animal
"Bees and other pollinators are important for plants because they facilitate pollination, which is essential for plant reproduction. This process allows plants to produce fruits and seeds, ensuring genetic diversity and the continuation of plant species.",Non-Animal
Bananas are commonly associated with being a remedy for potassium deficiency.,Non-Animal
"The Ganges is a tributary of the Brahmaputra River. However, it's important to note that the Ganges and Brahmaputra are two separate rivers that eventually merge in Bangladesh. The Ganges itself has many tributaries, including the Yamuna, Son, and Ghaghara rivers.",Non-Animal
"Plants adapt to different environmental conditions through various mechanisms such as altering their physical structures, developing specialized tissues, adjusting their metabolic processes, and through genetic changes over time.",Non-Animal
The vegetable often associated with the color orange and rich in vitamin A is carrots.,Non-Animal
"The city known for its iconic Opera House designed by Jørn Utzon is Sydney, Australia.",Non-Animal
"The Rocky Mountains are located in North America, spanning from northern British Columbia in Canada to New Mexico in the United States.",Non-Animal
